class_Id,SpellsKnown,Name,Gender,Heritage,TemplateString,Stuck,AiUsesMana,AllowGive,IgnoreCollisions,ReportCollisions,Ethereal,GravityStatus,Attackable,ReportCollisionsAsEnvironment,AllowEdgeSlide,NeverFailCasting,AiImmobile,NonProjectileMagicImmune,Strength,Endurance,Quickness,Coordination,Focus,Self,MaxHealth,MaxStamina,MaxMana,DeathTreasureType,ItemType,CreatureType,ItemsCapacity,ContainersCapacity,Mass,ItemUseable,Level,ArmorType,CombatMode,TargetingTactic,PhysicsState,AiAllowedCombatStyle,ShowableOnRadar,XpValue,AxeSkill,BowSkill,CrossbowSkill,DaggerSkill,MaceSkill,MeleeDefenseSkill,MissileDefenseSkill,SlingSkill,SpearSkill,StaffSkill,SwordSkill,ThrownWeaponSkill,UnarmedCombatSkill,ArcaneLoreSkill,MagicDefenseSkill,ManaConversionSkill,DeceptionSkill,HealingSkill,JumpSkill,LockpickSkill,RunSkill,CreatureEnchantmentSkill,ItemEnchantmentSkill,LifeMagicSkill,WarMagicSkill,TwoHandedCombatSkill,VoidMagicSkill,HeavyWeaponsSkill,LightWeaponsSkill,FinesseWeaponsSkill,MissileWeaponsSkill,ShieldSkill,DualWieldSkill,RecklessnessSkill,SneakAttackSkill,DirtyFightingSkill,SummoningSkill,BaseArmor,HealthRate,StaminaRate,ManaRate,Shade,ArmorModVsSlash,ArmorModVsPierce,ArmorModVsBludgeon,ArmorModVsCold,ArmorModVsFire,ArmorModVsAcid,ArmorModVsElectric,VisualAwarenessRange,PowerupTime,ChargeSpeed,Modelscale,ResistSlash,ResistPierce,ResistBludgeon,ResistFire,ResistCold,ResistAcid,ResistElectric,ResistHealthBoost,ResistStaminaDrain,ResistStaminaBoost,ResistManaDrain,ResistManaBoost,AiUseMagicDelay,ObviousRadarRange,AiAcquireHealth,ResistHealthDrain,DeathTreasureType,LootTier
16,16,Undead,,,,1,1,,0,1,0,1,1,,,1,,,30,40,20,65,100,95,35,55,115,453,16,14,-1,-1,,1,8,0,1,3,1032,183,2,1000,,,,,,40,66,,,,,,,40,44,,30,,,,,14,,14,14,,,50,50,40,40,50,,,,,,20,0.1000000015,5,2,,0.8000000119,0.1599999964,0.1299999952,0.1000000015,0.5,0.1299999952,0.4300000072,18,2,1,,1,0.6999999881,0.75,1,0.400000006,0.75,0.8600000143,1,1,1,1,1,3,10,,1,453,1
17,0,Gromnie,,,,1,,,0,1,0,,,,,,,,60,80,70,40,20,10,40,200,10,94,16,15,-1,-1,,1,6,0,2,5,1032,,2,120,,,,,,40,40,,,,,,40,,10,,5,,50,,70,,,,,,,,,,,,,,,,,30,0.16,5,2,0.5,0.9,1,1.1,0.4,0.4,1,0.6,22,,,,1,1,1,1,1,1,1,1,1,1,1,1,,10,,1,94,2
18,0,Reedshark Elder,,,,1,,,0,1,0,1,1,,,,,,75,100,80,75,50,35,60,200,35,459,16,16,-1,-1,,1,15,,2,13,1032,,2,2000,,,,,,30,64,,,,,,,,36,,50,,35,,50,,,,,,,,30,,,,,,,,,45,0.06700000167,5,2,0.5,0.2800000012,0.400000006,0.6999999881,0.25,0.6999999881,0.6000000238,0.400000006,24,1,1,1.399999976,0.6000000238,0.75,1,1,0.6600000262,1,0.75,1,1,1,1,1,,10,,1,459,1
19,0,Bronze Armoredillo,,,,1,,,0,1,0,1,1,,,,,,120,80,60,90,60,50,70,220,50,459,16,17,-1,-1,,1,20,,2,9,1032,,2,3500,,,,,,45,80,,,,,,,,55,,10,,25,,20,,,,,,,,25,,,,,,,,,90,0.3000000119,0.5,2,0.5,0.3199999928,0.6999999881,0.349999994,0.7300000191,0.6499999762,0.4900000095,0.7300000191,22,1,1,0.9499999881,0.5299999714,1,0.5,0.5,0.9499999881,0.6999999881,0.9499999881,1,1,1,1,1,,10,,1,459,1
23,23,Virindi Servant,,,,1,0,,0,1,0,1,1,,,1,,,30,150,150,100,250,250,125,150,550,463,16,19,-1,-1,,1,40,0,,3,1032,,2,7000,,,,,,100,200,,,,,,,190,100,,250,,,,80,35,,35,35,,,,150,0,,,,,,,,120,0.5,0.5,2,,1,1,1,0.7200000286,1,1,0.7200000286,16,1,1,,1,1,1,1,0.5,1,0.5,1,1,1,1,1,3,10,2,1,463,2
177,0,Spiny Armoredillo,,,,1,,,0,1,0,1,1,,,,,,95,35,70,100,15,15,38,185,15,459,16,17,-1,-1,,1,8,,2,9,1032,,2,1000,,,,,,10,20,,,,,,,,24,,5,,20,,25,,,,,,,,20,,,,,,,,,50,0.150000006,0.5,2,0.5,0.05999999866,0.6999999881,0.8000000119,0.6999999881,0.3799999952,0.3300000131,0.6999999881,22,1,1,0.8500000238,0.5299999714,1,0.5,0.5,0.9499999881,0.6999999881,0.9499999881,1,1,1,1,1,,10,,1,459,1
178,0,Brown Armoredillo,,,,1,,,0,1,0,1,1,,,,,,95,35,70,100,15,15,38,185,15,459,16,17,-1,-1,,1,8,,2,9,1032,,2,1000,,,,,,20,35,,,,,,,,39,,5,,25,,20,,,,,,,,30,,,,,,,,,60,0.150000006,0.5,2,,0.150000006,0.6999999881,0.1800000072,0.7099999785,0.4799999893,0.3899999857,0.7099999785,22,1,1,0.9499999881,0.5299999714,1,0.5,0.5,0.9499999881,0.6999999881,0.9499999881,1,1,1,1,1,,10,,1,459,1
179,0,Spikey Armoredillo,,,,1,,,0,1,0,1,1,,,,,,95,35,70,100,15,15,38,185,15,459,16,17,-1,-1,,1,8,,2,9,1032,,2,1000,,,,,,40,45,,,,,,,,46,,5,,25,,20,,,,,,,,30,,,,,,,,,60,0.150000006,0.5,2,0.5,0.150000006,0.6999999881,0.1800000072,0.7099999785,0.4799999893,0.3899999857,0.7099999785,22,1,1,0.8000000119,0.5299999714,1,0.5,0.5,0.9499999881,0.6999999881,0.9499999881,1,1,1,1,1,,10,,1,459,1
180,0,Sandy Armoredillo,,,,1,,,0,1,0,1,1,,,,,,120,80,60,90,60,50,70,220,50,459,16,17,-1,-1,,1,20,,2,9,1032,,2,3500,,,,,,60,95,,,,,,,,60,,5,,20,,25,,,,,,,,30,,,,,,,,,90,0.3000000119,0.400000006,2,0.5,0.3199999928,0.6999999881,0.349999994,0.7300000191,0.6499999762,0.4900000095,0.7300000191,22,1,1,1.200000048,0.5299999714,1,0.5,0.5,0.9499999881,0.6999999881,0.9499999881,1,1,1,1,1,,10,,1,459,1
183,3,Banderling Raver,,,,1,1,,0,1,0,1,1,,,,,,130,90,60,115,30,30,70,160,38,453,16,2,-1,-1,,1,15,0,2,3,1032,131,2,2000,,,,,,35,80,,,,90,,,90,32,,70,,80,,60,20,,,,,,,90,20,20,,,,,,,30,0.25,5,2,0.5,0.3100000024,0.1000000015,0.2199999988,0.3100000024,0.6999999881,0.1000000015,0.6000000238,20,1,1,1.299999952,0.7599999905,0.6499999762,0.5,1,0.7599999905,0.6499999762,1,1,1,1,1,1,3,10,,1,453,1
184,8,Banderling Captain,,,,1,,,0,1,0,1,1,,,,,,120,80,60,105,45,45,65,150,53,453,16,2,-1,-1,,1,15,0,2,3,1032,131,2,2000,,,,,,50,92,,,,60,,,50,51,,40,,80,,60,35,,35,35,,,,60,60,20,,,,,,,90,0.200000003,5,2,0.5,0.5,0.3799999952,0.6100000143,0.5,0.6999999881,0.3799999952,0.6000000238,20,2.200000048,1,1.700000048,0.7599999905,0.6499999762,0.5,1,0.7599999905,0.6499999762,1,1,1,1,1,1,,10,,1,453,1
185,0,Bandit,Male,Aluvian,,1,,,0,1,0,,,,,,,,55,55,55,55,55,55,28,55,55,,16,31,-1,-1,120,1,6,0,,13,1032,131,2,30,,8,,,,3,1,,,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,0,0.16,2.5,1,,0.9,1,1.1,0.4,0.4,1,0.6,30,,,,1,1,1,1,1,1,1,1,1,1,1,1,,10,,1,,
187,0,Bandit Lord,Male,Aluvian,,1,,,0,1,0,,,,,,,,220,200,200,220,60,60,210,320,60,448,16,31,-1,-1,120,1,110,0,,13,1032,131,2,21490,,,130,,,270,350,,,,225,,,250,285,,,,,,,,,,,,,,,,,,,,,,,225,0.16,5,1,,0.9,1,1.1,0.4,0.4,1,0.6,30,,,,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1,1,1,1,1,,10,,1,448,4
188,24,Bandit Mage,Male,Aluvian,,1,,,0,1,0,,,,,1,,,150,200,20,20,230,230,200,350,380,448,16,31,-1,-1,120,1,110,0,,13,1032,131,2,23514,,,,20,,140,140,,,,20,,,250,260,,,,,,,200,,200,200,,,,,,,,,,,,,225,0.16,5,1,,0.9,1,1.1,0.4,0.4,1,0.6,30,,,,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1,1,1,1,1,,10,2,1,448,4
189,24,Cultist High Priest,Male,Aluvian,,1,1,,0,1,0,1,1,,,,,,140,190,200,200,240,240,245,370,380,448,16,31,-1,-1,120,1,100,0,,13,1032,131,2,80000,,,,,,275,370,,,,,,,,200,,,,,,100,170,,170,170,,,280,280,280,,,,,,,,270,2,5,1,,0.8999999762,1,1.100000024,0.400000006,0.400000006,1,0.6000000238,15,,,,0.349999994,0.349999994,0.349999994,0.349999994,0.349999994,0.349999994,0.349999994,1,1,1,1,1,2,10,2,1,448,4
190,16,Cultist Cohort,Male,Aluvian,,1,1,,0,1,0,1,1,,,,,,200,160,200,200,220,220,200,320,320,450,16,31,-1,-1,120,1,80,0,,13,1032,131,2,30000,,,,,,230,350,,,,,,,,180,,,,,,100,100,,100,100,,,200,200,200,,,,,,,,270,2,5,1,,0.8999999762,1,1.100000024,0.400000006,0.400000006,1,0.6000000238,15,,,,0.349999994,0.349999994,0.349999994,0.349999994,0.349999994,0.349999994,0.349999994,1,1,1,1,1,2,10,2,1,450,3
191,16,Cultist Priest,Male,Aluvian,,1,1,,0,1,0,1,1,,,,,,210,140,200,210,220,220,220,320,320,450,16,31,-1,-1,120,1,80,0,,13,1032,131,2,30000,,,,,,240,350,,,,,,,,200,,,,,,100,125,,125,125,,,220,220,220,,,,,,,,270,2,5,1,,0.8999999762,1,1.100000024,0.400000006,0.400000006,1,0.6000000238,15,,,,1,1,1,1,1,1,1,1,1,1,1,1,2,10,2,1,450,3
192,0,Drudge Prowler,,,,1,,,0,1,0,1,1,,,,,,60,55,135,80,15,15,36,75,15,453,16,3,-1,-1,,1,8,0,2,9,1032,131,2,1000,,,,,,28,20,,,,,,,,8,,15,,,,40,,,,,,,20,20,20,,,,,,,,10,0.06700000167,3,1,0.5,0.8999999762,1,1.100000024,0.6000000238,0.6000000238,1,0.6000000238,12,1,1,1.200000048,0.8600000143,0.75,0.6600000262,1.419999957,1.419999957,0.75,1.419999957,1,1,1,1,1,,10,,1,453,1
193,0,Drudge Slinker,,,,1,,,0,1,0,1,1,,,,,,60,60,120,90,15,15,40,80,15,453,16,3,-1,-1,,1,8,0,2,9,1032,131,2,1000,,,,,,10,20,,,,,,,,9,,,,,,40,,,,,,,10,10,10,,,,,,,,3,0.06700000167,5,1,0.5,0.8999999762,1,1.100000024,0.6000000238,0.6000000238,1,0.6000000238,10,1,1,0.9499999881,0.8600000143,0.75,0.6600000262,1.419999957,1.419999957,0.75,1.419999957,1,1,1,1,1,,10,,1,453,1
194,4,Copper Golem,,,,1,1,,0,1,0,1,1,,,1,,,120,160,40,60,110,110,150,310,310,463,16,13,-1,-1,,1,40,0,2,9,1032,,2,7000,,,,,,155,250,,,,,,,200,126,,80,,10,,10,110,,110,110,,,,80,,,,,,,,,75,0.5,0.5,2,0.5,0.4399999976,0.5799999833,0.8600000143,0.3300000131,0.3300000131,0.8000000119,1,25,2.5,,,0.3300000131,0.5,0.8299999833,0.200000003,0.200000003,1,1,1,1,1,1,1,3,10,,1,463,2
195,7,Granite Golem,,,,1,1,,0,1,0,1,1,,,1,,,150,180,70,80,140,140,190,350,340,463,16,13,-1,-1,,1,60,0,2,3,1032,,2,17500,,,,,,115,210,,,,,,,190,110,,80,,10,,10,120,,120,120,,,,90,,,,,,,,,100,0.349999994,5,2,,1.309999943,1.74000001,1.200000048,0.4399999976,1.629999995,0.5799999833,1.629999995,13,2.5,1,1.100000024,0.5299999714,0.8999999762,1,0.400000006,0.1000000015,0.3300000131,0.400000006,1,1,1,1,1,2.5,10,,1,463,2
196,5,Ice Golem,,,,1,1,,0,1,0,1,1,,,,,,90,130,20,30,70,70,95,170,110,465,16,13,-1,-1,,1,15,0,2,3,1032,,2,2000,,,,,,54,86,,,,,,,150,34,,80,,10,,10,40,,40,40,,,,80,,,,,,,,,50,0.25,0.5,2,,0.7900000215,0.7900000215,0.3899999857,100,0.1000000015,0.7900000215,0.2300000042,15,3,,,0.8299999833,0.8299999833,0.8000000119,1,0,0.8299999833,0.8000000119,1,1,1,1,1,3,10,,1,465,1
197,5,Iron Golem,,,,1,1,,0,1,0,1,1,,,1,,,280,280,180,180,180,180,1100,1280,980,449,16,13,-1,-1,,1,160,0,2,9,1032,,2,500000,,,,,,155,250,,,,,,,200,126,,80,,10,,10,110,,110,110,,,,80,,,,,,,,,300,0.5,0.5,2,0.5,0.44,0.58,0.86,0.33,0.33,0.8,1,25,2.5,,,0.33,0.5,0.83,0.2,0.2,1,1,1,1,1,1,1,3,10,,1,449,6
198,5,Limestone Golem,,,,1,1,,0,1,0,1,1,,,,,,90,130,20,30,70,70,95,170,110,465,16,13,-1,-1,,1,15,0,2,9,1032,,2,2000,,,,,,52,85,,,,,,,150,32,,80,,10,,10,38,,38,38,,,,60,,,,,,,,,75,0.349999994,0.5,2,0.5,0.4499999881,0.4499999881,0.8000000119,0.3300000131,0.9200000167,0.5,0.4499999881,13,3,,,0.6299999952,0.6299999952,1,0.3000000119,0.200000003,1,0.6299999952,1,1,1,1,1,3,10,,1,465,1
199,12,Magma Golem,,,,1,1,,0,1,0,1,1,,1,1,,,250,250,150,150,150,150,455,470,425,452,16,13,-1,-1,,1,100,0,2,9,4197384,,2,80000,,,,,,275,375,,,,,,,200,220,,100,,10,,10,140,,140,140,,,,170,,,,,,,,,200,0.8,0.5,2,,1.8,0.8,0.8,0.7,100,0.75,0.8,17,2.3,,,0.9,0.33,0.33,0,1,0.2,0.33,1,1,1,1,1,3,10,2,1,452,5
200,4,Mud Golem,,,,1,1,,0,1,0,1,1,,,,,,80,120,20,20,60,60,61,121,100,465,16,13,-1,-1,,1,8,0,2,9,1032,,2,1000,,,,,,0,20,,,,,,,100,32,,80,,,,10,30,,30,30,,,,5,,,,,,,,,50,0.150000006,5,2,0.5,0.7900000215,0.7900000215,0.7900000215,0.8000000119,0.6999999881,0.1700000018,0.7900000215,13,2,1,1.100000024,0.8299999833,0.8299999833,0.8299999833,1,1,0.3300000131,0.8299999833,1,1,1,1,1,3,10,,1,465,1
201,14,Obsidian Golem,,,,1,1,,0,1,0,1,1,,,1,,,150,180,70,80,140,140,190,350,340,463,16,13,-1,-1,,1,60,0,2,3,1032,,2,17500,,,,,,215,320,,,,,,,200,157,,100,,10,,10,110,,110,110,,,,100,,,,,,,,,150,0.6000000238,0.5,2,,1.409999967,1.75999999,1.200000048,0.6299999952,1.75,0.6700000167,1.75,25,3.599999905,,,0.5299999714,0.8999999762,1,0.400000006,0.1000000015,0.200000003,0.400000006,1,1,1,1,1,3,10,2,1,463,2
202,7,Sandstone Golem,,,,1,1,,0,1,0,1,1,,,,,,90,130,20,30,70,70,95,170,110,465,16,13,-1,-1,,1,15,0,2,5,1032,,2,2000,,,,,,54,88,,,,,,,140,36,,80,,10,,10,45,,45,45,,,,90,,,,,,,,,75,0.349999994,0.5,2,0.5,0.4399999976,0.5799999833,1,0.3300000131,0.3300000131,1,0.8600000143,13,2.5,,,0.3300000131,0.5,1,0.200000003,0.200000003,1,0.8299999833,1,1,1,1,1,3,10,,1,465,1
203,0,Gromnie Hatchling,,,,1,,,0,1,0,,,,,,,,60,80,70,40,20,10,40,200,10,,16,15,-1,-1,,1,6,0,2,9,1032,,2,121,,,,,,40,40,,,,,,40,,10,,,,50,,70,,,,,,,,,,,,,,,,,30,1.5,0.5,2,,1,1,1,0.46,0.48,1,1,18,,,0.8,1,1,1,0.83,0.7,1,1,1,1,1,1,1,,10,,1,,
204,17,Lich,,,,1,1,,0,1,0,1,1,,,1,,,50,60,30,80,125,115,90,130,155,453,16,14,-1,-1,,1,20,0,1,3,1032,183,2,3500,,,,,,86,126,,,,,,,50,76,,50,,,,,24,,24,24,,,90,90,90,100,90,,,,,,70,0.3000000119,0.5,2,0.5,0.8000000119,0.3000000119,0.5500000119,0.1800000072,0.5,0.5500000119,0.6700000167,18,1,1,,1,0.5199999809,0.75,1,0.200000003,0.75,0.8600000143,1,1,1,1,1,2.599999905,10,2,1,453,1
205,0,Obeloth Lugian,,,,1,,,0,1,0,1,1,,,,,,225,200,75,80,55,85,150,350,85,453,16,5,-1,-1,8000,1,30,0,2,13,1032,131,4,5000,,,,,,72,118,,,,,,,,84,,40,,140,,50,,,,,,,,90,,70,,,,,,,100,0.6000000238,4,2,0.5,0.5099999905,0.5099999905,0.5099999905,0.2599999905,0.02999999933,0.8399999738,0.8000000119,16,3,1,,0.6600000262,0.6600000262,0.6600000262,0.25,0.4199999869,0.8999999762,1,1,1,1,1,1,,10,,1,453,1
206,0,Lithos Lugian,,,,1,,,0,1,0,1,1,,,,,,250,180,85,90,60,90,140,330,90,451,16,5,-1,-1,8000,1,40,0,2,13,1032,131,4,7000,,,,,,105,200,,,,,,,,105,,30,,140,,50,,,,,,,,75,,75,,,,,,,120,0.6000000238,4,2,0.5,0.5600000024,0.5600000024,0.5600000024,0.3400000036,0.1400000006,0.8500000238,0.8000000119,22,2,1,,0.6600000262,0.6600000262,0.6600000262,0.25,0.4199999869,0.8999999762,1,1,1,1,1,1,,10,,1,451,2
208,0,Mite Matron,,,,1,,,0,1,0,1,1,,,,,,90,100,120,120,90,80,100,250,80,459,16,7,-1,-1,,1,30,0,2,3,1032,129,2,5000,,,,,,66,104,,,,,,,,76,,50,,80,,80,,,,,,,,95,,80,,,,,,,45,0.3000000119,5,2,,0.6100000143,0.3899999857,0.3899999857,0.5899999738,0.5,0.5,0.3899999857,18,2,1,1.200000048,0.6999999881,0.8000000119,0.8000000119,1,0.75,1,0.8000000119,1,1,1,1,1,,10,,1,459,1
209,0,Mite Squib,,,,1,,,0,1,0,1,1,,,,,,80,90,100,100,60,50,75,240,50,459,16,7,-1,-1,,1,15,0,2,5,1032,129,2,2000,,,,,,40,82,,,,,,,,54,,25,,80,,80,,,,,,,,80,,0,,,,,,,40,0.200000003,5,2,0.5,0.5099999905,0.3300000131,0.3300000131,0.5099999905,0.5,0.5,0.3300000131,18,2,1,1.200000048,0.6999999881,0.8000000119,0.8000000119,1,0.75,1,0.8000000119,1,1,1,1,1,,10,,1,459,1
210,14,Mosswart Chief,,,,1,1,,0,1,0,1,1,,,,,,130,120,95,80,75,65,115,205,115,453,16,4,-1,-1,,1,30,0,2,13,1032,131,2,5000,,,,,,85,124,,,,,,,150,84,,100,,,,40,74,74,74,74,,,120,120,120,80,,,,,,,105,0.400000006,5,2,0.5,0.2800000012,0.5199999809,0.5199999809,0.09000000358,0.400000006,0.02999999933,0.6999999881,24,1,1,1.200000048,0.5500000119,0.8000000119,0.8000000119,1,0.3799999952,0.3000000119,1,1,1,1,1,1,3,10,,1,453,1
211,0,Mudlurk Mosswart,,,,1,,,0,1,0,1,1,,,,,,110,100,80,65,50,40,75,165,40,453,16,4,-1,-1,,1,15,0,2,13,1032,131,2,2000,,,,,,58,66,,,,,,,,55,,60,,,,40,,,,,,,80,80,55,40,,,,,,,55,0.3000000119,5,2,0.5,0.2800000012,0.3600000143,0.3600000143,0.6800000072,0.400000006,0.05999999866,0.6999999881,24,1,1,1,0.6999999881,0.8000000119,0.8000000119,1,0.8000000119,0.5,1,1,1,1,1,1,,10,,1,453,1
212,0,Olthoi Noble,,,,1,,,0,1,0,1,1,,,,,,300,300,130,130,100,50,275,550,50,450,16,1,-1,-1,8000,1,80,0,2,13,1032,,2,30000,,,,,,225,325,,,,,,,,225,,150,,200,,50,,,,,,,,210,,,,,,,,,240,0.6999999881,4,2,0.5,0.6899999976,0.8000000119,0.6000000238,1,1,1.100000024,1,24,1,1,1.100000024,0.75,1,1,0.75,0.75,0.4199999869,0.25,1,1,1,1,1,,10,,1,450,3
213,0,Olthoi Nymph,,,,1,,,0,1,0,1,1,,,,,,220,220,70,70,50,20,115,270,20,451,16,1,-1,-1,8000,1,30,0,2,13,1032,,2,5000,,,,,,115,100,,,,,,,,160,,50,,100,,45,,,,,,,,120,,,,,,,,,100,0.349999994,4,2,0.5,0.8999999762,0.8000000119,0.6999999881,1,1,1.200000048,1,18,1,1,0.8000000119,0.75,1,1,0.75,0.75,0.4199999869,0.25,1,1,1,1,1,,10,,1,451,2
